face_id,left_cell,right_cell,nx,ny,nz,area,fx,fy,fz,bc_type,bc_value
5404,1626,3009,-0.0,-0.9486832538210943,0.3162278987050654,0.011485972869350264,0.7502073248227438,0.5770760178565979,0.29030313094456994,internal,0.0
5405,1626,2459,-0.8164966047193536,0.4082481060786704,-0.40824842726573535,0.008896997079412576,0.7217969099680582,0.6054864327112833,0.26189271112283075,internal,0.0
5406,1626,5044,0.7071069202646275,1.5453123407324437e-07,-0.7071066421084232,0.010273365596280344,0.7786177396774292,0.6054864327112833,0.26189271112283075,internal,0.0
5407,1627,1697,-0.948683275935811,-0.0,0.3162278323609388,0.011485975279090205,0.6933864951133728,0.6907176772753397,0.37553440531094867,internal,0.0
5408,1627,3460,0.8017836940303993,-0.5345226573779787,0.2672609899266089,0.013590385884140374,0.7217969099680582,0.6623072624206543,0.3471239854892095,internal,0.0
5409,1627,3043,-0.7071068429990367,0.0,-0.7071067193740529,0.010273364473708545,0.707591692606608,0.6765124797821045,0.3045083433389664,internal,0.0
5410,1628,5209,0.4381370668274154,0.43780471701258783,-0.7850878552323918,0.007216980080954907,0.9640864729881287,0.749010153126984,0.29952241955597536,internal,0.0
5411,1628,2558,-0.7041693118488214,-0.5020683358304278,-0.5020686869411615,0.009145033809522536,0.9281729459762573,0.7307446819617868,0.31354777621665497,internal,0.0
5412,1629,-1,-0.0,-0.0,-1.0,0.00523267239873927,0.7713871823881225,0.8777850139049388,0.0,example1,0.0
5413,1629,2551,-0.05307931215854879,0.9861731289049113,0.15698772705747596,0.007317908085053399,0.7805006509536061,0.9008809505100581,0.0399468739827474,internal,0.0
5414,1629,3600,0.879912006167059,-0.46981849678837195,0.07089034827517715,0.006092367506890533,0.8047240308533236,0.8732202251963527,0.0399468739827474,internal,0.0
5415,1629,2859,-0.6584741875575566,-0.5766468600684607,0.4836219009656209,0.0075512721404380175,0.7645777977650002,0.87105941349339,0.0399468739827474,internal,0.0
5416,1630,5125,-0.7071070284365795,-0.0,0.7071065339364291,0.005136676399484749,0.7502073248227438,0.8611801664034525,0.14825103680292767,internal,0.0
5417,1630,4051,0.0,0.0,-1.0,0.003632177444792717,0.7502073248227438,0.832769771416982,0.1198406219482422,internal,0.0
5418,1630,4721,-0.0,-0.7071070284365795,0.7071065339364291,0.005136676399484749,0.7786177198092142,0.832769771416982,0.14825103680292767,internal,0.0
5419,1630,5126,0.5773504037754728,0.5773504037754728,-0.5773500000178378,0.006291118809527146,0.7786177198092142,0.8611801664034525,0.14825103680292767,internal,0.0
5420,1631,-1,1.0,-0.0,-0.0,0.004658698810528225,1.0,0.9720478071368307,0.06498922990020635,example1,0.0
5421,1631,3669,-0.3287524221795526,-0.2919169624237947,0.8981683205058738,0.003797065815621873,0.9728870071270785,0.9720478071368307,0.09210222277312778,internal,0.0
5422,1631,3668,-0.5773502691896252,-0.5773502691896256,-0.5773502691896266,0.005906993394589101,0.9728870071270785,0.9720478071368307,0.055065185736090684,internal,0.0
5423,1631,-1,0.0,1.0,0.0,0.004518832145486924,0.9728870071270785,1.0,0.06415002990995854,example1,0.0
5424,1632,2515,0.8408859595552475,0.5412123455935303,-0.0,0.006208709060803197,0.7480801523109178,0.08167290687561034,0.41710067220818825,internal,0.0
5425,1632,3525,0.27392810437457776,-0.1768336686827844,0.9453535038565931,0.006580453882648969,0.7405109675408471,0.04083645343780517,0.440065686333742,internal,0.0
5426,1632,2726,-0.2500655010281304,-0.4389716172261666,-0.863001254034659,0.00720839640249131,0.7405109675408471,0.04083645343780517,0.41165525161084165,internal,0.0
5427,1633,3139,0.0,0.7071067811865476,-0.7071067811865476,0.0025683426900270302,0.8780542016029358,0.2503562569618225,0.3329187631607056,internal,0.0
5428,1634,4680,0.7071071520614983,-0.7071064103114023,-0.0,0.005136682685883191,0.7502073248227438,0.15091978510220844,0.2618927160898845,internal,0.0
5429,1634,2432,-1.0,0.0,0.0,0.0036321850650584708,0.7217969298362732,0.15091978510220844,0.2618927160898845,internal,0.0
5430,1634,4678,-0.0,0.7071067811865475,-0.7071067811865475,0.005136679991710277,0.7502073248227438,0.17933020989100137,0.2618927160898845,internal,0.0
5431,1634,4598,0.0,0.0,1.0,0.0036321812549235956,0.7502073248227438,0.17933020989100137,0.2903031408786774,internal,0.0
5432,1635,3140,-1.0,0.0,0.0,0.003632183795013512,0.892259418964386,0.3213822940985362,0.23348229130109155,internal,0.0
5433,1635,3538,-0.039428830103523445,0.7065570452827198,0.7065567982250401,0.0064983196218538035,0.9281729459762573,0.32425547303796953,0.2610236614454628,internal,0.0
5434,1635,3735,0.07974789138183047,-0.9968150650046135,0.0,0.004606103652033483,0.9281729459762573,0.29584505818328405,0.2610236614454628,internal,0.0
5435,1636,4469,-0.5588623802243814,-0.0,0.8292604174624152,0.005536779290527365,0.9281729459762573,0.3348361121283639,0.14404377787545333,internal,0.0
5436,1636,4348,0.03005436868513127,0.8696245783204591,0.4927979582992422,0.006089609855148427,0.9640864729881287,0.36685889940271493,0.1354788758649962,internal,0.0
5437,1637,2294,-0.395409224239771,-0.21169382553172297,-0.8937769686100928,0.006239578557388547,0.8425643402711147,0.04083645343780517,0.29392630288091676,internal,0.0
