face_id,left_cell,right_cell,nx,ny,nz,area,fx,fy,fz,bc_type,bc_value,source_fraction
55069,19715,28798,-0.40824819529727707,0.40824848079710524,0.8164965333443687,0.0022242474227198343,0.23171715935071313,0.4137161473433177,0.07012239595254262,internal,0.0,1.0
55070,19715,26629,0.0,-0.0,-1.0,0.0018160912624844983,0.21751194695631668,0.3995109299818675,0.05591718852519989,internal,0.0,1.0
55071,19715,19834,0.7071066575615637,0.0,-0.7071069048115096,0.0025683413429414383,0.24592236677805587,0.3995109299818675,0.07012239595254262,internal,0.0,1.0
55072,19716,31089,1.0,0.0,0.0,0.0009080462662645061,0.2743327915668488,0.371100515127182,0.07012239595254262,internal,0.0,1.0
55073,19717,24490,-0.23570231076122414,-0.9428089957950272,-0.23570239317790478,0.0019262566059108205,0.26723018785317737,0.3071770966053009,0.09143020709355672,internal,0.0,1.0
55074,19717,32898,-0.2357020818261243,0.23570232907609873,0.9428090690542458,0.0019262557826914973,0.26723018785317737,0.3213822940985362,0.10563541452089946,internal,0.0,1.0
55075,19718,33065,0.10672674748486213,0.9063432419716028,-0.4088414473897029,0.003257043041528134,0.6715027052899257,0.8014822208259668,0.18556447656368913,internal,0.0,1.0
55076,19718,20737,-0.05347216498889872,-0.6788524453523188,0.7323251224767434,0.002899008927698659,0.6786053139706508,0.7943796121452417,0.1926670802773605,internal,0.0,1.0
55077,19718,32717,0.7071065339366023,-5.065687523345476e-16,-0.7071070284364063,0.0012841717940424524,0.6862838864326477,0.7830515503883362,0.16955884794394174,internal,0.0,1.0
55078,19718,24814,-0.7431901110429443,-0.6644283524631884,0.07876181366010433,0.0014809717950555652,0.6572974879284755,0.7872770034645166,0.1713592691363464,internal,0.0,1.0
55079,19719,36065,0.8164964857612109,0.4082485283802672,0.40824824288040573,0.002224248718953611,0.5584369897842407,0.6836150685946146,0.14114843308925631,internal,0.0,1.0
55080,19721,32015,0.8164964857611445,-0.40824824288057215,0.40824852838023395,0.0011121251372172391,0.5655395984649658,0.8043593764305115,0.09143020709355672,internal,0.0,1.0
55081,19721,24949,0.40824824288057215,-0.8164964857611445,0.40824852838023395,0.0011121251372172391,0.5513343811035156,0.7901541590690613,0.09143020709355672,internal,0.0,1.0
55082,19722,21601,0.6454652498613228,0.6454652498613228,-0.4083493877097409,0.0018459145958956984,0.6302594367195574,0.7562580315460249,0.03727812568346659,internal,0.0,1.0
55083,19723,24869,-0.0,1.0,0.0,0.0009080449962199921,0.4305900832017262,0.7830515503883362,0.07012239595254262,internal,0.0,1.0
55084,19723,29965,-0.7071070284365795,0.0,0.7071065339364292,0.0012841708959847355,0.4305900832017262,0.768846333026886,0.08432760337988536,internal,0.0,1.0
55085,19723,23136,0.0,-0.707106533936602,-0.7071070284364065,0.0012841699979276474,0.4305900832017262,0.768846333026886,0.07012239595254262,internal,0.0,1.0
55086,19724,19725,0.0,-0.0,1.0,0.0009080465837758572,0.26012757917245233,0.9251036047935486,0.05591718852519989,internal,0.0,1.0
55087,19726,32776,-0.7071070284364065,0.707106533936602,-0.0,0.0025683417919700993,0.21751194695631668,0.9393088221549988,0.09853281080722809,internal,0.0,1.0
55088,19726,25261,0.4082484807969265,-0.8164963905945959,0.4082484807969265,0.002224248978200588,0.21751194695631668,0.9251036047935486,0.09853281080722809,internal,0.0,1.0
55089,19727,-1,-0.0,1.0,-0.0,0.00145024879508612,0.2024911169574117,1.0,0.14765246861898035,example1,0.0,0.0
55090,19727,28256,-0.9973450006413315,-0.06533408563221184,-0.03216219753600965,0.0013537116124101784,0.18693641616721424,0.9845046798388163,0.14533416710915006,internal,0.0,1.0
55091,19727,35910,0.48285872348426484,-0.3656620214601947,-0.7957001566022156,0.001430600773594653,0.20388587198248623,0.9845046798388163,0.13587841690363447,internal,0.0,1.0
55092,19728,25259,-0.9983367374804772,0.0,-0.057652047637847856,0.0011424243217785456,0.188071186325833,0.8492219873671556,0.0737592614858814,internal,0.0,1.0
55093,19728,26573,0.6539356882151441,-0.6539370601657607,0.38043979421236684,0.001744092256741169,0.20227639375317572,0.8492219873671556,0.0737592614858814,internal,0.0,1.0
55094,19728,29898,-0.0,0.9649071303380877,0.26259137423517254,0.0011820065653692137,0.20227639375317572,0.863427164992176,0.0737592614858814,internal,0.0,1.0
55095,19729,29935,0.7071070284364065,0.707106533936602,-0.0,0.0012841708959850497,0.21751194695631668,0.7546411156654358,0.08432760337988536,internal,0.0,1.0
55096,19731,19846,0.0,0.0,-1.0,0.0009080469012872048,0.38797447085380554,0.371100515127182,0.05591718852519989,internal,0.0,1.0
